Epoch 0/199
----------
model_train
256/3126,train_loss:19.805902481079102
257/3126,train_loss:20.726469039916992
258/3126,train_loss:20.637849807739258
259/3126,train_loss:21.043292999267578
260/3126,train_loss:20.453435897827148
261/3126,train_loss:20.834390640258789
262/3126,train_loss:20.886198043823242
263/3126,train_loss:19.557115554809570
264/3126,train_loss:20.398403167724609
265/3126,train_loss:20.174917221069336
266/3126,train_loss:20.284347534179688
267/3126,train_loss:19.948036193847656
268/3126,train_loss:19.792566299438477
269/3126,train_loss:20.367418289184570
270/3126,train_loss:20.364536285400391
271/3126,train_loss:20.664997100830078
272/3126,train_loss:20.446235656738281
273/3126,train_loss:20.381591796875000
274/3126,train_loss:20.627706527709961
275/3126,train_loss:19.991601943969727
276/3126,train_loss:21.010450363159180
277/3126,train_loss:20.004516601562500
278/3126,train_loss:20.000495910644531
279/3126,train_loss:20.283294677734375
280/3126,train_loss:20.679035186767578
281/3126,train_loss:20.832557678222656
282/3126,train_loss:20.405010223388672
283/3126,train_loss:20.343482971191406
284/3126,train_loss:20.712606430053711
285/3126,train_loss:19.836187362670898
286/3126,train_loss:21.360719680786133
287/3126,train_loss:20.481964111328125
288/3126,train_loss:20.368213653564453
289/3126,train_loss:19.557638168334961
290/3126,train_loss:20.901800155639648
291/3126,train_loss:21.230840682983398
292/3126,train_loss:20.651710510253906
293/3126,train_loss:21.207841873168945
294/3126,train_loss:20.750013351440430
295/3126,train_loss:20.927135467529297
296/3126,train_loss:20.163072586059570
297/3126,train_loss:20.404308319091797
298/3126,train_loss:20.413764953613281
299/3126,train_loss:20.015579223632812
300/3126,train_loss:20.308715820312500
301/3126,train_loss:20.219881057739258
302/3126,train_loss:19.950334548950195
303/3126,train_loss:20.423334121704102
304/3126,train_loss:19.398834228515625
305/3126,train_loss:19.468645095825195
306/3126,train_loss:21.619842529296875
307/3126,train_loss:20.267944335937500
308/3126,train_loss:21.025001525878906
309/3126,train_loss:20.719629287719727
310/3126,train_loss:20.822500228881836
311/3126,train_loss:20.553253173828125
312/3126,train_loss:20.435987472534180
313/3126,train_loss:20.358964920043945
314/3126,train_loss:20.116447448730469
315/3126,train_loss:20.843381881713867
316/3126,train_loss:20.034013748168945
317/3126,train_loss:20.243473052978516
318/3126,train_loss:20.406587600708008
319/3126,train_loss:20.055290222167969
320/3126,train_loss:19.465892791748047
321/3126,train_loss:20.210086822509766
322/3126,train_loss:20.136560440063477
323/3126,train_loss:20.790090560913086
324/3126,train_loss:19.773410797119141
325/3126,train_loss:21.211023330688477
